cid,text,time,author,channel,votes,photo,heart
UgzqhuqS8KtHEVOkheJ4AaABAg,"if norm was alive today,he would have roasted alec Baldwin killing",5 months ago,sameer ahmed,UCqyA4MT3UQjDVLTJyBG0Q6Q,0,https://yt3.ggpht.com/KUZg2ETsT8GpaAXaz6HqXqJ5oXme8H4nuO3AfKSGcvWI8Pb_6TwRgdpPzavHYxgIMe6RJkgirQ=s176-c-k-c0x00ffffff-no-rj,False
UgzCZs3CECkl_rTbjSZ4AaABAg,"My favourite OJ Simpson joke by Norm MacDonald:

""OJ announced this week he's coming out with a new book called ""I Want To Tell You"".  And if it's successful, OJ will work on yet another book titled ""From Football to Prison: My 25 Years of Showering With Other Men."""" - https://www.youtube.com/watch?v=2SSVIg4Noqc, timestamp 2:15",5 months ago,The Indian Pianist,UCgjLYYC1_CH8ObdUlEDXNFA,0,https://yt3.ggpht.com/rUIP4X0BCf7iNabOMq1Qnt7F3TDuAaFGflGPXQ0AHjtBFV_pLlV4BLt3HN52leGQKDXY0NmJ=s176-c-k-c0x00ffffff-no-rj,False
Ugx9HHkA6SxfjX2Y2UJ4AaABAg,Slash slash backslash escape is OJ's email address,6 months ago,Callum,UCuhFAi4kg4kVAUyZL6NbCOw,0,https://yt3.ggpht.com/wC5rWK_ajFxuvbUBiC1krjAlocoWsejoMdCBOXXLFRTRMD2ZREVau0woF9AEHwMwG5Jh65Ks=s176-c-k-c0x00ffffff-no-rj,False
UgxpzbNkNzVx3Z9Mk9p4AaABAg,I don't get it ?,6 months ago,goKu Lebron,UCiQiuzbZKzmqJATmoX4GAVg,1,https://yt3.ggpht.com/ytc/AKedOLTtMoKjvPFBF-5Y_cHQKkknDCKJu_RDM1RhKesB=s176-c-k-c0x00ffffff-no-rj,False
UgwmAeCfR9ZjHaiR_7p4AaABAg,"I like the one on the morning of the verdict where he says, “breaking news: murder is now legal in California.”",6 months ago,Matt Norton,UC95EoIGMWv8VVyWA4K02ENg,0,https://yt3.ggpht.com/ytc/AKedOLTAaDp-j54ZYfoldfOoB4IwHAm67TfTJo93behAMg=s176-c-k-c0x00ffffff-no-rj,False
UgwYss5mg89p9yA782p4AaABAg,"My favorite joke is when Norm says, in his words, that murder is now legal in the State of California. 😂",6 months ago,Precious One,UCyAoZHv5ECcjaZfSGd_mLxQ,0,https://yt3.ggpht.com/ytc/AKedOLTqrT_5-aH-eT6Me-1sTYDqFuO8rKqUcJ3s1A=s176-c-k-c0x00ffffff-no-rj,False
Ugz0iI5wnqC88NXRFWJ4AaABAg,OJ wasn't guilty of Murder.,6 months ago,U2BE Matchmaker,UCzv_7zbMszSKnFLbk1v5kUw,0,https://yt3.ggpht.com/BTkFSfVfqsyJcOWLuz5YX6I3GVT8CE2KE784xk5vCRMMbKPMz72VyxSHCzeRRUKbpNApB9TJ3XA=s176-c-k-c0x00ffffff-no-rj,False
UgzmiHJUAHy6c06eaBR4AaABAg,"The rough eight lately bomb because shame postprandially fail off a sore flood. rhetorical, perpetual israel",6 months ago,Joe Root,UCSwQw4MfCMN3mHCjfINgupw,0,https://yt3.ggpht.com/ytc/AKedOLS8CWf3Z4Q7MlUICz8ViNWqytCgcMm-t3ZkkCe1OEAUGCPmxqVJud58ULUlRFjs=s176-c-k-c0x00ffffff-no-rj,False
Ugw5DCrfkj7NiKELYdJ4AaABAg,"NORM!!!!!
We miss you, man!
Rest in Peace.😔
Now we have to do our own ""Dirty Work""!!! 😉",6 months ago,s mc,UCJILxvwwa1NWRrJtVNKIHPQ,0,https://yt3.ggpht.com/ytc/AKedOLSDvxa4qrqkYh9leXRIEBA6xeGdwpivnJAppQ=s176-c-k-c0x00ffffff-no-rj,False
UgxRyUPmnVN-tKqcobJ4AaABAg,"The conscious june arthroscopically shiver because brace basally bore throughout a marvelous punishment. quixotic, magenta community",6 months ago,Joe Root,UCSwQw4MfCMN3mHCjfINgupw,0,https://yt3.ggpht.com/ytc/AKedOLS8CWf3Z4Q7MlUICz8ViNWqytCgcMm-t3ZkkCe1OEAUGCPmxqVJud58ULUlRFjs=s176-c-k-c0x00ffffff-no-rj,False
UgzF7RYfSMyEDZ0vdDx4AaABAg,It's funny because it's the truth.,6 months ago,Dominik Kaskader,UCb9G7BYXJYVJfJQl5NbGx-A,0,https://yt3.ggpht.com/ytc/AKedOLRzg-VYhu__Aw-0SPiW9KeegrEI-RR3l0C9Bu_1=s176-c-k-c0x00ffffff-no-rj,False
UgxqqR-xsaiigLfqIgF4AaABAg,Perfect delivery,6 months ago,moon rock,UC0GhH8xO-EeB5vjAsdaKitQ,0,https://yt3.ggpht.com/guONkb5NoAOnuW3rD9SkojR7RSRPEXa6pVGVI_ygCKeGBAnNG_dAPjUXcTT_kw3mWU5xNw-Efg=s176-c-k-c0x00ffffff-no-rj,False
UgzrOtp1IDZPbTsVLNt4AaABAg,lord he's so fine,6 months ago,Übermensch,UCHi56nv0lWP13blX4mLktOw,0,https://yt3.ggpht.com/L8b-dXY8ND2b-uSYQhFH1c8aZrF0j-HkOKgeJRCifpUuQuSNkL4RfKQXx6il4l11FUHik-LHmA=s176-c-k-c0x00ffffff-no-rj,False
Ugx3Y7CZv2SYzwtb8NN4AaABAg,This guy was FEARLESS in his comedy.,6 months ago,M.,UChHao2ZE5Ckc4yOkCMZ6oJQ,0,https://yt3.ggpht.com/ytc/AKedOLSqNEmkl21S02cFljMvZEFlmMt_FuaYqrSdUA=s176-c-k-c0x00ffffff-no-rj,False
UgyOmD8QdC1_gJIA5gp4AaABAg,A dark year for comedy.,7 months ago,Thomas Scott,UCtEpn6xctU5Sh9_uMgNsphA,0,https://yt3.ggpht.com/ytc/AKedOLTXVsnSVWS3g9cd1ZfCDb6VM9qXHuptogWRNP2SFyM=s176-c-k-c0x00ffffff-no-rj,False
UgyEINh78GmG0RCJMf54AaABAg,"I think oj was taking the fall to protect the real killer, and I think it was his son. He reacted like a truly innocent man when they said not guilty.",7 months ago,Von Milash,UCisq-Htz5X_TtHVDeNXy-cw,0,https://yt3.ggpht.com/ytc/AKedOLQHiAMnq63NqJN8mSj1zlNFtQtSh-hllQe6FA=s176-c-k-c0x00ffffff-no-rj,False
Ugy5n72LSTsJwu-1biN4AaABAg,"His best OJ joke was, after the trial, Norm comes out and says,"" It's official, murder is now legal in California"".",7 months ago,Anthony Cappucci,UCch1SOhtwnUYULmmVKtodQg,2,https://yt3.ggpht.com/ytc/AKedOLRToff-MZlSA-uDD8dVCtZuZ7EHYPaMAWzPs-1N=s176-c-k-c0x00ffffff-no-rj,False
UgwjAgJXPrafrZVaL1Z4AaABAg,Yes.  The best joke he ever told.  Saw it live and it is still a great joke today.,7 months ago,UP Rebel,UC_pAby4ZmZRwfxOU5hTFCSQ,0,https://yt3.ggpht.com/ytc/AKedOLTDYshBxI7a7r8zAmDqSH6mj98Dzjj5LjVVTQ=s176-c-k-c0x00ffffff-no-rj,False
UgxOqw9vomnIu5ozmBZ4AaABAg,"RIP legend, we missed you.",7 months ago,Augustus,UCsMtVQSJ5n-e4QzmVLqN0qA,1,https://yt3.ggpht.com/ytc/AKedOLTC3raz5QaNMftG6UUaN252wY2tQz_-ZqtqNMVfNA=s176-c-k-c0x00ffffff-no-rj,False
Ugx1djlZ0PkS5G-bHCB4AaABAg,His death was a tragedy...at the time.,7 months ago,Jason Woodall,UChD_gTMtIybVmVrxJuOkwnA,0,https://yt3.ggpht.com/ytc/AKedOLT2IyRvSI5gwAvbeUyVP95JAMoTpnctvZhGkQ=s176-c-k-c0x00ffffff-no-rj,False
UgynTLPMr9TE9DvLXQ14AaABAg,Norm was one of the best. He gave Mr hours of joy. God bless him.,7 months ago,Sebastián Torres,UCHD8104itHbapz8beI0brHA,0,https://yt3.ggpht.com/ytc/AKedOLTePHYcw9GKLjFcfFbZ_iEkf9cnWaFp_Vbh0Q=s176-c-k-c0x00ffffff-no-rj,False
Ugz-PPlcyGb10hmwiAh4AaABAg,😂😂🔥🔥🔥🔥🔥🔥,7 months ago,Spitty,UClH23SoikYf0dmTJkxB2Kpw,0,https://yt3.ggpht.com/NiVOdCI4NAdvQtM-0i5V3HAEMW2EriAJuWjAK-JtTwBix9Z_pox-qTJ3xrMtlNhvgkfUQLkP=s176-c-k-c0x00ffffff-no-rj,False
Ugyh7I-pLZCSjFExnX94AaABAg,"“the most popular halloween costume is OJ Simpson, while the most popular halloween greeting is i’ll kill you and that guy bringing over your glasses…or treat”

that was my favorite though all his OJ jokes are solid gold",7 months ago (edited),Raised On Popcorn With Grant,UCbQmrxJp7tFooSX01kwPxDQ,4,https://yt3.ggpht.com/RHO2uIO9pe4VdnKWeIXZ8fmLiVIXfZTFgI_VeddI2SfhR3zHyKsjb4KgyAaEofsTrQ5fLXrhGw=s176-c-k-c0x00ffffff-no-rj,False
UgynIkbg-8lx26JRDOh4AaABAg,"As long as OJ, a murderer, walks free, this planet is doomed. It shows that justice is 100% dead",7 months ago,Eclipse538,UCUp8h0mEiM2hcCLYR74T3eA,0,https://yt3.ggpht.com/ytc/AKedOLRJPZOV8GmIgJNI7XUMEp7I9G_E111qDrxARPAL=s176-c-k-c0x00ffffff-no-rj,False
UgxcJyGl6OJVygrOxcR4AaABAg,"The best one is the joke about people who say the thing that really bothers them about the whole Bill Cosby thing is the hypocrisy of it all, Cosby's hypocrisy about being a great dad and everything.  The thing that bugged Norm was all the raping, you know, the drugging and the raping of all those women.",7 months ago (edited),makinoah cello duo,UCYQwGNjuNZpKKmSXBPMZOmw,1,https://yt3.ggpht.com/ytc/AKedOLQLLAUNflmEtVZP6cvO8GibZfOIXHqSprvTrw=s176-c-k-c0x00ffffff-no-rj,False
UgznZ1JS29tfjyIB0hJ4AaABAg,"BASED
RIP",7 months ago (edited),john sun,UC2xtpL0sg9VpAONZMvvZEjg,0,https://yt3.ggpht.com/ytc/AKedOLSKVgWYDCHPxexrLRXI6ET9XBrzbeJ9L4KwPlY9=s176-c-k-c0x00ffffff-no-rj,False
UgyNEEcpabgSJhhX3mJ4AaABAg,"We lose norm, but we get to keep OJ?  Gaaaaaaay",7 months ago,Marquis Facade,UCdusY_eJLPomNHAs2Kp2BlQ,0,https://yt3.ggpht.com/ytc/AKedOLT5VdJVonLalhyrd0BgrkwIXfxyH-0V6Sjrmmt1=s176-c-k-c0x00ffffff-no-rj,False
UgzPopDnQQzNG-H2kYV4AaABAg,"Norm was such a legend during the OJ stuff. And in general, but ESPECIALLY then",7 months ago (edited),DSM The Editor,UChHQKEdk8TqCFxbO88iJiqg,0,https://yt3.ggpht.com/_Y5_Ywvf7oLQT7efMNpXODKEq4jWimuhE4Qma25CKR_z36bGqxfvnF4yGvIaWr8et6EaBF5-TQ=s176-c-k-c0x00ffffff-no-rj,False
Ugw4paMnigkPRVHJfw14AaABAg,"Another punchline could have been ""if only it hadn't been a knife that killed her, OJ may have saved her.""",7 months ago,jones81381,UChE-_UE8kMHlzrR4g5QgTIA,0,https://yt3.ggpht.com/ytc/AKedOLReB8vGlQoi3UR00-D-xHIEYvtyLguevXt_eeUp=s176-c-k-c0x00ffffff-no-rj,False
UgzYC5VkwH2pRrorqTt4AaABAg,W,7 months ago,kr1s c0ve,UCq3e1gT4MJiKOMMKmF0QZ8Q,0,https://yt3.ggpht.com/ytc/AKedOLRCpWmm7tFUcRq3VxQGrGA3XJlNeZNtRgoEcaowbQ=s176-c-k-c0x00ffffff-no-rj,False
UgyEINh78GmG0RCJMf54AaABAg.9Sc6ORH_6Sc9SyfYP1nObJ,"WTF? He is guilty! His blood and prints were there, nobody else's 🤣",7 months ago,SecureTheBorder,UC9PsQY6Bcp-8ktdTD61nKcA,1,https://yt3.ggpht.com/ytc/AKedOLT1L0OK7VIzlVVoCVxdwTNer9WVlZIB0t2Ejl7s=s176-c-k-c0x00ffffff-no-rj,False
UgwhFTafqszuSkP75K94AaABAg,I'm just glad it wasn't a massive heart attack.,7 months ago,Lawrence Lenerd,UCtHx_wsYNu0KnwSjDha2upw,0,https://yt3.ggpht.com/ytc/AKedOLTJRxVEiFimz03wy5ty4OE6fX1kdFqmemnhhRXXNt_3R8hQ6_EYIxQ96QMb4yFE=s176-c-k-c0x00ffffff-no-rj,False
UgwbZiIiB4lGPq5c0id4AaABAg,I watched a complication of his OJ jokes and thought this one was the funniest too. Nice!,7 months ago,ski,UCtXfNVb4qSJuD4_datePrqQ,0,https://yt3.ggpht.com/ytc/AKedOLTZCnL0UddYmTnEUcX8paIjNk88VGG4SqsOXg=s176-c-k-c0x00ffffff-no-rj,False
