cid,text,time,author,channel,votes,photo,heart
UgzCpNFXE8FsDUq_FHd4AaABAg.9SUYsj8tLmW9SUqYRkQ6tk,"Though he had a writer that he was very complimentary of, on SNL, so it isn't always his joke. Sam show, I also like the women drivers joke.",7 months ago,liouy cnny,UCTDAA11uXYFCf2Snxx1y_gQ,0,https://yt3.ggpht.com/JolerIL-4HX3ZUsXHrJtesE9YJR2Vl4i3RHeBEzKpy-hErOC6pQySO0fQ7WeA74Sat0xqvGWw5Q=s176-c-k-c0x00ffffff-no-rj,False
UgyXH8veBPd0M6Lx2K94AaABAg.9ST-S7VFngL9ST174OwK-Z,It's all opinion some people are funny to a lot some people and to others they are not.,7 months ago,Steve Bragg,UCjHq8UDiH77MWkRMP81JXZw,0,https://yt3.ggpht.com/ytc/AKedOLQVnTLK5KaXep4qTzJSemTY_lxHhSEjeAIRtNGh=s176-c-k-c0x00ffffff-no-rj,False
Ugx_3GHZu-OLmWx_kr54AaABAg.9ST-OWpqRkq9STkDqw_WuP,Murderer isn't a race,7 months ago,Gareth White,UCaTpiqeChW8isSROhSNdVaQ,0,https://yt3.ggpht.com/ytc/AKedOLT-JG4O5MCGDccsVIJbkQCseKOwBIqEPpNwZxSy=s176-c-k-c0x00ffffff-no-rj,False
UgzHHohYLJxJKqpU1pl4AaABAg,He had such a great delivery.,7 months ago,Richard Buchanan,UCbdOxTyGpIu9sil7R3fvzVQ,0,https://yt3.ggpht.com/ytc/AKedOLQV98ZENSxjra65XGj-AzQUx7W62hSAAPO_2w=s176-c-k-c0x00ffffff-no-rj,False
UgwwIwfYjuQI6CNlcIt4AaABAg,"Though he had a writer that he was very complimentary of, on SNL, so it isn't always his joke.

Sam show, I also like the women drivers joke.",7 months ago,Hondo Trailside,UCg-niG8r5iBjMLJtgnvNGTg,0,https://yt3.ggpht.com/ytc/AKedOLR5P1L2zfChmYsHOlOYHia4agqyXBtCdVubdw=s176-c-k-c0x00ffffff-no-rj,False
Ugw8UmNMT4CXcUDaijJ4AaABAg,OJ didn't kill Nicole. He murdered her.,7 months ago,Dr. Pepper,UCZ3Z95Re5laG0LeJagVfrHw,0,https://yt3.ggpht.com/ytc/AKedOLQeO17E08uVbbiSqy2TK0AKqjT4Bo38M_ZzfP7CzQ=s176-c-k-c0x00ffffff-no-rj,False
Ugy_seK75sKjNdIPG9l4AaABAg,"Hey, take it easy with that! That's my lucky stabbin' hat.""",7 months ago,Papa Woody,UCdbeK1Y5Xs1a9daZI8M27uw,1,https://yt3.ggpht.com/ytc/AKedOLQRuExS_T5rNacH5_qcSTr12L80G0q49Q0ATw=s176-c-k-c0x00ffffff-no-rj,False
UgxfdZTVvibPh-toKst4AaABAg,RIP Norm.,7 months ago,Dragons Tooth,UC0-0Wx6-mS4BCNFOIqmRY5Q,0,https://yt3.ggpht.com/ytc/AKedOLRaiux36x1l2OyVeK0n2NvMtMT6r1RHcQkojMok0A=s176-c-k-c0x00ffffff-no-rj,False
UgwY4D9RvaoIT_GjiUN4AaABAg,"My favorite Norm McDonald joke was about the presenting of Kenny G's Christmas Album. ""Happy Birthday Jesus, I hope you like some crap!""",7 months ago,Dz Nutz,UC3_gRkheRRIhgtlj1j0c5tw,0,https://yt3.ggpht.com/ytc/AKedOLTQ5XKX6Fx6B-GdanawbG0UPNA3Wbyr_AYK_zlE=s176-c-k-c0x00ffffff-no-rj,False
UgynuM1eLeWCCR7nmHZ4AaABAg,"If only Norm could have passed away on ... 9/11. (  Good Lord, man... don’t laugh about 9/11 😒 )",7 months ago,Garrett Kniffen,UCzYnyLzQj1yqlRg_PVpFmfg,0,https://yt3.ggpht.com/ytc/AKedOLR1EtQtUDqbBQApEcfINQ2t53jlCX3j4410eQHBSw=s176-c-k-c0x00ffffff-no-rj,False
